"ordinal","reviewClass","lane","sourceBucket","id","team","slug","reason","bundle","playerText","pickText","projectedAssetsToCreate","projectedNetAssetChange","warnings","errors"
"40","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","NYJ-2015-0242","new-york-jets","brandon-marshall-and-2015-7th-round-pick-224th-overall-subsequently-traded-bryce-hager-chi","bundle risks: explanatory_or_contingent|transaction_verb_leak","Brandon Marshall and 2015 7th round pick (224th overall subsequently traded, Bryce Hager)","Brandon Marshall","2015 7th round pick (224th overall subsequently traded, Bryce Hager)","0","0","",""
"41","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","NE-2015-0359","new-england-patriots","keshawn-martin-and-2016-6th-round-pick-196th-overall-subsequently-traded-blake-countess-ho","bundle risks: explanatory_or_contingent|transaction_verb_leak","Keshawn Martin and 2016 6th round pick (196th overall subsequently traded, Blake Countess)","Keshawn Martin","2016 6th round pick (196th overall subsequently traded, Blake Countess)","0","0","",""
"42","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","NE-2016-0361","new-england-patriots","jonathan-cooper-and-2016-2nd-round-pick-61st-overall-subsequently-traded-vonn-bell-arizona","bundle risks: explanatory_or_contingent|transaction_verb_leak","Jonathan Cooper and 2016 2nd round pick (61st overall subsequently traded, Vonn Bell)","Jonathan Cooper","2016 2nd round pick (61st overall subsequently traded, Vonn Bell)","0","0","",""
"43","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","CHI-2016-0461","new-england-patriots","2016-4th-round-pick-127th-overall-deiondre-hall-new-england-patriots-2","bundle risks: explanatory_or_contingent|transaction_verb_leak","Martellus Bennett and 2016 6th round pick (204th overall subsequently traded, Jordan Lucas)","Martellus Bennett","2016 6th round pick (204th overall subsequently traded, Jordan Lucas)","0","0","",""
"44","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","MIA-2016-0265","cleveland-browns","2016-7th-round-pick-222nd-overall-subsequently-traded-browns-2016","bundle risks: explanatory_or_contingent|transaction_verb_leak","Jamar Taylor and 2016 7th round pick (249th overall subsequently traded, Prince Charles Iworah)","Jamar Taylor","2016 7th round pick (249th overall subsequently traded, Prince Charles Iworah)","0","0","",""
"45","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","CAR-2016-0057","cleveland-browns","panthers-cleveland-browns-trade-2016-0057","bundle risks: explanatory_or_contingent|transaction_verb_leak","Kasey Redfern and 2018 4th round pick (123rd overall subsequently traded, Durham Smythe)","Kasey Redfern","2018 4th round pick (123rd overall subsequently traded, Durham Smythe)","0","0","",""
"46","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","DET-2016-0364","new-england-patriots","2017-6th-round-pick-215th-overall-brad-kaaya-new-england-patriots-2016-10-25","bundle risks: explanatory_or_contingent|transaction_verb_leak","Kyle Van Noy and 2017 7th round pick (239th overall subsequently traded, Noah Brown)","Kyle Van Noy","2017 7th round pick (239th overall subsequently traded, Noah Brown)","0","0","",""
"47","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","IND-2017-0347","new-england-patriots","2017-4th-round-pick-137th-overall-zach-banner-new-england-patriots-2017","bundle risks: explanatory_or_contingent|transaction_verb_leak","Dwayne Allen and 2017 6th round pick (200th overall subsequently traded, Adam Bisnowaty)","Dwayne Allen","2017 6th round pick (200th overall subsequently traded, Adam Bisnowaty)","0","0","",""
"48","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","MIA-2017-0269","miami-dolphins","william-hayes-rams-2017","bundle risks: explanatory_or_contingent|transaction_verb_leak","William Hayes and 2017 7th round pick (223rd overall subsequently traded, Stevie Tu'ikolovatu)","William Hayes","2017 7th round pick (223rd overall subsequently traded, Stevie Tu'ikolovatu)","0","0","",""
"49","manual","DPP_manual_bundle_has_transaction_or_source_risks","D_player_plus_pick_bundle_needs_split","CAR-2017-0058","new-england-patriots","panthers-new-england-patriots-trade-2017-0058","bundle risks: explanatory_or_contingent|transaction_verb_leak","Kony Ealy and 2017 3rd round pick (72nd overall subsequently traded, Taywan Taylor)","Kony Ealy","2017 3rd round pick (72nd overall subsequently traded, Taywan Taylor)","0","0","",""
